Gender,Location,Product,Rating,Review,Sentiment_Value,Combine_Score,Sentiment
Male,Texas,Headphones,5,Outstanding performance, very smooth operation!,2.148,3.574,Positive
Male,New York,Headphones,3,The product is okay, does what it promises.,2.042,2.521,Neutral
Male,London,Monitor,2,Disappointed, very slow performance.,1.023,1.511,Negative
Male,London,Monitor,1,Not satisfied, overhyped and overpriced.,1.175,1.088,Negative
Male,Texas,Headphones,2,Not satisfied, overhyped and overpriced.,1.175,1.588,Negative
Male,Delhi,Keyboard,5,Highly recommend for anyone looking for quality!,1.974,3.487,Positive
Male,Berlin,Laptop,5,Value for money, works perfectly!,2.284,3.642,Positive
Male,Florida,Headphones,3,The product is okay, does what it promises.,2.042,2.521,Neutral
Male,Delhi,Smartwatch,5,Highly recommend for anyone looking for quality!,1.974,3.487,Positive
Male,Florida,Keyboard,4,Amazing battery life and great display.,2.336,3.168,Positive
Male,Berlin,Monitor,4,Amazing battery life and great display.,2.336,3.168,Positive
Male,London,Monitor,3,The product is okay, does what it promises.,2.042,2.521,Neutral
Male,Tokyo,Bluetooth Speaker,4,Amazing battery life and great display.,2.336,3.168,Positive
Male,London,Headphones,2,Battery drains too quickly, not worth the price.,1.331,1.666,Negative
Male,Washington,Laptop,3,Works fine for regular use, nothing special.,1.383,2.192,Negative
Male,Delhi,Smartwatch,1,Defective product, avoid buying this.,0.875,0.938,Negative
Male,New York,Monitor,4,Value for money, works perfectly!,2.284,3.142,Positive
Male,Delhi,Monitor,3,Average quality, neither great nor bad.,0.813,1.906,Negative
Male,Florida,Tablet,3,Works fine for regular use, nothing special.,1.383,2.192,Negative
Male,New York,Headphones,4,Outstanding performance, very smooth operation!,2.148,3.074,Positive
Male,Berlin,Monitor,2,Not satisfied, overhyped and overpriced.,1.175,1.588,Negative
Male,Florida,Camera,5,Amazing battery life and great display.,2.336,3.668,Positive
Male,Texas,Monitor,2,Disappointed, very slow performance.,1.023,1.511,Negative
Male,Texas,Headphones,4,Excellent product, exceeded my expectations!,2.111,3.056,Positive
Male,Sydney,Smartwatch,3,It’s functional but could be improved.,2.131,2.566,Neutral
Male,Washington,Gaming Console,1,Poor build quality, stopped working after a week.,0.888,0.944,Negative
Male,Tokyo,Smartphone,1,Poor build quality, stopped working after a week.,0.888,0.944,Negative
Male,Sydney,Bluetooth Speaker,2,Battery drains too quickly, not worth the price.,1.331,1.666,Negative
Male,London,Monitor,5,Outstanding performance, very smooth operation!,2.148,3.574,Positive
Male,Florida,Smartwatch,1,Disappointed, very slow performance.,1.023,1.011,Negative
Male,California,Gaming Console,5,Outstanding performance, very smooth operation!,2.148,3.574,Positive
Male,New York,Camera,2,Disappointed, very slow performance.,1.023,1.511,Negative
Male,New York,Monitor,1,Not satisfied, overhyped and overpriced.,1.175,1.088,Negative
Male,London,Smartphone,1,Disappointed, very slow performance.,1.023,1.011,Negative
Male,New York,Laptop,2,Defective product, avoid buying this.,0.875,1.438,Negative
Male,Berlin,Monitor,4,Value for money, works perfectly!,2.284,3.142,Positive
Male,Delhi,Headphones,4,Value for money, works perfectly!,2.284,3.142,Positive
Male,New York,Headphones,4,Outstanding performance, very smooth operation!,2.148,3.074,Positive
Male,Berlin,Smartphone,2,Poor build quality, stopped working after a week.,0.888,1.444,Negative
Male,Texas,Monitor,5,Value for money, works perfectly!,2.284,3.642,Positive
Male,Tokyo,Keyboard,3,It’s functional but could be improved.,2.131,2.566,Neutral
Male,Tokyo,Smartwatch,2,Battery drains too quickly, not worth the price.,1.331,1.666,Negative
Male,Texas,Camera,4,Amazing battery life and great display.,2.336,3.168,Positive
Male,Washington,Camera,2,Poor build quality, stopped working after a week.,0.888,1.444,Negative
Male,California,Smartwatch,2,Battery drains too quickly, not worth the price.,1.331,1.666,Negative
Male,Texas,Headphones,2,Battery drains too quickly, not worth the price.,1.331,1.666,Negative
Male,California,Headphones,5,Excellent product, exceeded my expectations!,2.111,3.556,Positive
Male,Sydney,Smartphone,4,Value for money, works perfectly!,2.284,3.142,Positive
